eno;sport;event
494;Athletics;Athletics Men's 200 metres
495;Cycling;Cycling Men's Team Sprint
496;Synchronized Swimming;Synchronized Swimming Women's Solo
497;Canoeing;Canoeing Women's Kayak Fours, 500 metres
498;Biathlon;Biathlon Men's 12.5 kilometres Pursuit
499;Wrestling;Wrestling Men's Flyweight, Freestyle
500;Swimming;Swimming Women's 200 metres Individual Medley
501;Nordic Combined;Nordic Combined Men's Individual
502;Swimming;Swimming Men's 200 metres Individual Medley
503;Canoeing;Canoeing Men's Kayak Relay 4 x 500 metres
504;Freestyle Skiing;Freestyle Skiing Women's Aerials
505;Boxing;Boxing Men's Bantamweight
506;Fencing;Fencing Men's epee, Individual
507;Short Track Speed Skating;Short Track Speed Skating Women's 500 metres
508;Alpine Skiing;Alpine Skiing Men's Combined
509;Biathlon;Biathlon Women's 12.5 kilometres Mass Start
510;Rowing;Rowing Women's Lightweight Double Sculls
511;Athletics;Athletics Women's 3,000 metres Steeplechase
512;Alpine Skiing;Alpine Skiing Men's Slalom
513;Athletics;Athletics Men's 50 kilometres Walk
514;Judo;Judo Women's Half-Middleweight
515;Judo;Judo Men's Half-Heavyweight
516;Sailing;Sailing Mixed Two Person Keelboat
517;Beach Volleyball;Beach Volleyball Women's Beach Volleyball
518;Gymnastics;Gymnastics Women's Team Portable Apparatus
519;Swimming;Swimming Men's 100 metres Backstroke
520;Shooting;Shooting Men's Military Pistol, 30 metres
521;Rowing;Rowing Men's Double Sculls
522;Cycling;Cycling Women's Mountainbike, Cross-Country
523;Shooting;Shooting Men's Military Rifle, Prone, 300 metres
524;Hockey;Hockey Men's Hockey
525;Cross Country Skiing;Cross Country Skiing Women's 20 kilometres
526;Judo;Judo Women's Extra-Lightweight
527;Boxing;Boxing Men's Light-Heavyweight
528;Canoeing;Canoeing Men's Canadian Doubles, 500 metres
529;Cycling;Cycling Men's Madison
530;Equestrianism;Equestrianism Men's Jumping, Team
531;Hockey;Hockey Women's Hockey
532;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle
533;Snowboarding;Snowboarding Women's Giant Slalom
534;Judo;Judo Men's Half-Middleweight
535;Golf;Golf Women's Individual
536;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual
537;Canoeing;Canoeing Men's Folding Kayak Doubles, 10 kilometres
538;Gymnastics;Gymnastics Men's Tumbling
539;Gymnastics;Gymnastics Men's Parallel Bars
540;Judo;Judo Women's Half-Lightweight
541;Diving;Diving Women's Plain High
542;Athletics;Athletics Women's 400 metres Hurdles
543;Snowboarding;Snowboarding Women's Boardercross
544;Taekwondo;Taekwondo Men's Featherweight
545;Trampolining;Trampolining Men's Individual
546;Tug-Of-War;Tug-Of-War Men's Tug-Of-War
547;Alpine Skiing;Alpine Skiing Women's Slalom
548;Boxing;Boxing Men's Flyweight
549;Football;Football Men's Football
550;Taekwondo;Taekwondo Women's Featherweight
551;Rowing;Rowing Men's Single Sculls
552;Judo;Judo Women's Heavyweight
553;Shooting;Shooting Men's Military Rifle, Prone, 600 metres, Team
554;Luge;Luge Women's Singles
555;Weightlifting;Weightlifting Men's Featherweight
556;Cycling;Cycling Women's Team Sprint
557;Equestrianism;Equestrianism Men's Dressage, Team
558;Judo;Judo Men's Half-Lightweight
559;Cycling;Cycling Women's Omnium
560;Skeleton;Skeleton Women's Skeleton
561;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
562;Athletics;Athletics Women's 800 metres
563;Weightlifting;Weightlifting Men's Middleweight
564;Weightlifting;Weightlifting Women's Heavyweight
565;Cross Country Skiing;Cross Country Skiing Women's 5 kilometres
566;Swimming;Swimming Women's 400 metres Freestyle
567;Wrestling;Wrestling Men's Middleweight, Freestyle
568;Equestrianism;Equestrianism Men's Vaulting, Individual
569;Canoeing;Canoeing Women's Kayak Singles, Slalom
570;Golf;Golf Men's Individual
571;Swimming;Swimming Men's 50 metres Freestyle
572;Shooting;Shooting Men's Free Pistol, 50 metres
